,Unnamed: 0,question,answer
175,175,she's kind of short.,greeting
176,176,what height is she?,greeting
177,177,she's probably about five feet.,greeting
178,178,"that's nice, but tell me what she looks like.",greeting
179,179,the first thing i noticed was her beautiful brown eyes.,greeting
180,180,i think i might've bumped into her before.,greeting
181,181,are you telling me that you've seen her before?,greeting
182,182,have you met the new girl?,greeting
183,183,no. have you?,greeting
184,184,she's one of the prettiest girls at the school.,greeting
185,185,what does she look like?,greeting
186,186,"well, she's quite short.",greeting
187,187,how tall would you say that she is?,greeting
188,188,i would say she's only five feet.,greeting
189,189,what about her facial features?,greeting
190,190,"she has light brown eyes, absolutely beautiful.",greeting
191,191,i think i know who you're talking about.,greeting
192,192,why weren't you at school yesterday?,greeting
193,193,i wasn't really feeling well.,greeting
194,194,what was wrong with you?,greeting
195,195,my stomach was upset.,greeting
196,196,do you feel better now?,greeting
197,197,i don't really feel too well yet.,greeting
198,198,do you want anything to make you feel better?,greeting
199,199,"no, thanks. i already took some medicine.",greeting
200,200,i hope you feel better.,greeting
201,201,what reason do you have for missing school?,greeting
202,202,i was sick.,greeting
203,203,how were you sick?,greeting
204,204,i had a stomachache.,greeting
205,205,did it get any better?,greeting
206,206,i'm still feeling under the weather.,greeting
207,207,would you like anything for your stomach?,greeting
208,208,i took something earlier.,greeting
209,209,get better.,greeting
210,210,why didn't you go to school yesterday?,greeting
211,211,i stayed home because i wasn't feeling well.,greeting
212,212,what was your problem?,greeting
213,213,my stomach was bothering me.,greeting
214,214,are you feeling any better?,greeting
215,215,i'm still feeling a little sick.,greeting
216,216,"i'm going to the store, would you like any pepto bismol?",greeting
217,217,that's okay.,greeting
218,218,did you hear the good news?,greeting
219,219,"no, i haven't.",greeting
220,220,i got a promotion at my job.,greeting
221,221,did you really?,greeting
222,222,"seriously, i am so excited.",greeting
223,223,"well, congratulations.",greeting
224,224,thank you.,greeting
225,225,i'm so happy for you.,greeting
226,226,really?,greeting
227,227,yes. you really deserved this.,greeting
228,228,you think so?,greeting
229,229,have you heard my good news?,greeting
230,230,you haven't told me anything yet.,greeting
231,231,i got a promotion at work earlier this week.,greeting
232,232,is that right?,greeting
233,233,it's the truth. i am really happy.,greeting
234,234,congratulations on your promotion.,greeting
235,235,thank you very much.,greeting
236,236,i am really excited for you.,greeting
237,237,are you really?,greeting
238,238,i'm serious. you deserved this promotion.,greeting
239,239,is that what you really think?,greeting
240,240,"i haven't told you what happened yet, have i?",greeting
241,241,i haven't heard anything.,greeting
242,242,"my boss offered me a promotion, and i took it.",greeting
243,243,are you serious?,greeting
244,244,"yes, i am really excited.",greeting
245,245,that's great. congratulations.,greeting
246,246,i appreciate that.,greeting
247,247,you have no idea how happy i am for you.,greeting
248,248,you look really nice today. ,greeting
249,249,thank you. i just got this outfit the other day.,greeting
250,250,"really, where did you get it?",greeting
251,251,i got it from macy's.,greeting
252,252,it's really nice.,greeting
253,253,"thanks again. you look nice today, too.",greeting
254,254,thank you. i just got these shoes today.,greeting
255,255,really? what kind of shoes are they?,greeting
256,256,these are called all star chuck taylors.,greeting
257,257,i really like those. how much did they cost?,greeting
258,258,they were about forty dollars.,greeting
259,259,i absolutely love what you're wearing today.,greeting
260,260,you do? i just bought this outfit a couple days ago.,greeting
261,261,"seriously, it looks really nice on you. where did you buy it from?",greeting
262,262,i bought it from the macy's at the santa anita mall.,greeting
263,263,i really like that outfit.,greeting
264,264,"thanks. i think you look nice today, too.",greeting
265,265,thank you. i just bought these new shoes earlier today.,greeting
266,266,those are nice. what are they?,greeting
267,267,these are some chucks.,greeting
268,268,those are great. how much were they?,greeting
269,269,i got them for forty.,greeting
270,270,i think that you look very cute today.,greeting
271,271,is that right? this is a brand new outfit.,greeting
272,272,what store did you get it from?,greeting
273,273,i went to macy's and picked it out.,greeting
274,274,i love your outfit right now.,greeting
275,275,"well, i think you look nice today too.",greeting
276,276,thanks. i found these new shoes earlier at the store.,greeting
277,277,i think that those are some really nice shoes. what kind are they?,greeting
278,278,these are chucks.,greeting
279,279,your shoes look really nice. how much did you get them for?,greeting
280,280,"tell me, what do you enjoy doing in your spare time?",greeting
281,281,i enjoy drawing and painting.,greeting
282,282,you know how to draw and paint?,greeting
283,283,"yes, i do.",greeting
284,284,when did you learn how to do that?,greeting
285,285,i learned back in high school.,greeting
286,286,"oh, so you took an art class?",greeting
287,287,"yeah, i loved that class.",greeting
288,288,i see that you're pretty talented.,greeting
289,289,thank you very much.,greeting
290,290,i wish i had a talent like that.,greeting
291,291,what kinds of things do you like to do?,greeting
292,292,i've always liked to draw and paint.,greeting
293,293,i didn't know you knew how to draw and paint.,greeting
294,294,i do it every once in a while.,greeting
295,295,how long have you known how to do that?,greeting
296,296,i first learned how to do it in high school.,greeting
297,297,did you take some sort of art class or something?,greeting
298,298,that was my favorite class.,greeting
299,299,you have got to be talented.,greeting
300,300,thanks.,greeting
301,301,if only i was talented.,greeting
302,302,are there any hobbies you do?,greeting
303,303,"when i have time, i sometimes draw and paint.",greeting
304,304,"oh, you actually do that?",greeting
305,305,"every so often, i do.",greeting
306,306,did you always know how to draw and paint?,greeting
307,307,i was taught in high school how to draw and paint.,greeting
308,308,you had an art class?,greeting
309,309,"exactly, it was my favorite class.",greeting
310,310,"well, it's good that you're so talented.",greeting
311,311,i appreciate that.,greeting
312,312,what's your favorite movie?,greeting
313,313,my favorite movie is superbad.,greeting
314,314,"oh, why is that?",greeting
315,315,it's the funniest movie that i've ever seen.,greeting
316,316,that's true. it is a very funny movie.,greeting
317,317,you've seen it before? ,greeting
318,318,"yes, i saw that movie the first day it came out in theaters.",greeting
319,319,didn't you laugh through the whole movie? i did.,greeting
320,320,me too. that movie brought tears to my eyes.,greeting
321,321,mine too.,greeting
322,322,i have it on dvd at my house if you want to come over and watch it.,greeting
323,323,which movie is your favorite to watch?,greeting
324,324,"i have to say, my favorite movie is superbad.",greeting
325,325,is that right? why?,greeting
326,326,"honestly, it is one of the funniest movies i've seen in a long time.",greeting
327,327,you're right. that movie is hilarious.,greeting
328,328,i didn't think you saw that movie.,greeting
329,329,i went to see it the day it came out.,greeting
330,330,i was laughing through the whole movie.,greeting
331,331,"i couldn't help laughing, either. ",greeting
332,332,same here.,greeting
333,333,i bought the movie. would you like to come to my house and watch it?,greeting
334,334,"out of every movie that you've seen, which one is your favorite?",greeting
335,335,i'm going to have to say that superbad is the best movie ever.,greeting
336,336,"you think so, how come?",greeting
337,337,"well, superbad is super funny.",greeting
338,338,"you're not lying, i found that movie absolutely hilarious.",greeting
339,339,i didn't know that you saw superbad before.,greeting
340,340,i made sure to be in line to see it the first day it came out.,greeting
341,341,i couldn't keep from laughing throughout the whole movie.,greeting
342,342,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,greeting
343,343,that's exactly how i felt.,greeting
344,344,what type of music do you like to listen to?,greeting
345,345,i like listening to different kinds of music.,greeting
346,346,"like what, for instance?",greeting
347,347,i enjoy rock and r&b.,greeting
348,348,why is that?,greeting
349,349,i like the different instruments that they use.,greeting
350,350,that's a good reason to like something.,greeting
351,351,what kind of music do you enjoy listening to?,greeting
352,352,i enjoy listening to all kinds of music.,greeting
353,353,what kind?,greeting
354,354,i like to listen to rock and r&b.,greeting
355,355,why do you like that type of music?,greeting
356,356,i like the kinds of instruments that they use.,greeting
357,357,i think that's an excellent reason to like something.,greeting
358,358,what is your favorite kind of music?,greeting
359,359,i listen to various types of music.,greeting
360,360,what genres?,greeting
361,361,i enjoy listening to both rock and r&b.,greeting
362,362,what interests you in that type of music?,greeting
363,363,i enjoy the different types of instruments that they use.,greeting
364,364,did you go to the basketball game on friday?,greeting
365,365,"no, i couldn't make it.",greeting
366,366,you missed a really good game.,greeting
367,367,"oh, really? who won?",greeting
368,368,our school did. they played really well.,greeting
369,369,too bad i was busy. i really wanted to go.,greeting
370,370,"yeah, you should have. it was really exciting.",greeting
371,371,so what was the score?,greeting
372,372,the score was 101-98.,greeting
373,373,"man, that was a really close game.",greeting
374,374,that's what made it so great.,greeting
375,375,were you able to attend friday night's basketball game?,greeting
376,376,i was unable to make it.,greeting
377,377,you should have been there. it was intense.,greeting
378,378,is that right. who ended up winning?,greeting
379,379,our team was victorious.,greeting
380,380,i wish i was free that night. i'm kind of mad that i didn't go.,greeting
381,381,it was a great game.,greeting
382,382,what was the score at the end of the game?,greeting
383,383,our team won 101-98.,greeting
384,384,sounds like it was a close game.,greeting
385,385,that's the reason it was such a great game.,greeting
386,386,i was meaning to ask you if you saw the basketball game on friday.,greeting
387,387,"i wanted to go, but i couldn't.",greeting
388,388,it was a great game.,greeting
389,389,it's too bad that i couldn't make it. who won?,greeting
390,390,our team played hard and won.,greeting
391,391,i really wish i went to the game.,greeting
392,392,it was the best game ever.,greeting
393,393,so tell me the final score.,greeting
394,394,"the other team lost by three points, 101-98. ",greeting
395,395,it must've been a close game.,greeting
396,396,what are you doing this weekend?,greeting
397,397,i'm going to the movies with a friend. how about you?,greeting
398,398,i'm not sure yet.,greeting
399,399,"well, did you want to go see a movie with me?",greeting
400,400,what movie are you going to see?,greeting
401,401,i'm not sure yet. is there something you want to see?,greeting
402,402,there's nothing i can think of.,greeting
403,403,"so, did you want to go?",greeting
404,404,"no, thanks, maybe another time.",greeting
405,405,do you know what you're going to do this weekend?,greeting
406,406,i am going to see a movie with a friend of mine. what about you?,greeting
407,407,i don't know.,greeting
408,408,would you like to see a movie with me and my friend?,greeting
409,409,do you know what movie you're going to watch?,greeting
410,410,"i don't know, but was there a certain movie you wanted to see?",greeting
411,411,none that i can think of.,greeting
412,412,"well, would you like to go?",greeting
413,413,"thank you for inviting me, but i think i'll pass.",greeting
414,414,you have any ideas as to what you want to do this weekend?,greeting
415,415,i'm going to the movie theater with my friend. what are you going to do?,greeting
416,416,i'm not quite sure yet.,greeting
417,417,how about you see a movie with me and my friend?,greeting
418,418,what movie are you and your friend planning on watching?,greeting
419,419,not sure. is there a movie out that catches your eye?,greeting
420,420,no good movies come to mind.,greeting
421,421,have you decided whether or not you would like to go?,greeting
422,422,did you go to school today?,greeting
423,423,"yeah, i went to school today. were you there?",greeting
424,424,"no, i didn't go, i've been sick.",greeting
425,425,that sucks. did you want the assignments from english class?,greeting
426,426,"that would be nice, thank you.",greeting
427,427,"no problem, you're welcome.",greeting
428,428,i will be glad to do the same for you when you're sick.,greeting
429,429,have you attended school today?,greeting
430,430,i attended school today. did you?,greeting
431,431,i wasn't able to attend school because i was feeling ill.,greeting
432,432,i'm sorry to hear that. would you like the assignments from english class?,greeting
433,433,"i would really appreciate that, thanks.",greeting
434,434,it's no trouble at all.,greeting
435,435,"if you get sick, i'll return the favor.",greeting
436,436,have you gone to school today?,greeting
437,437,i went to school today. did you go to school?,greeting
438,438,"i couldn't go to school today, i was sick.",greeting
439,439,that's horrible. i'd be happy to give you the assignments from english class.,greeting
440,440,"thank you very much, that's kind of you.",greeting
441,441,don't mention it.,greeting
442,442,did you hear the news?,greeting
443,443,what happened?,greeting
444,444,our cousin went into labor and had her baby last week.,greeting
445,445,she did? why didn't anyone tell me?,greeting
446,446,i would've thought that somebody would have told you.,greeting
447,447,"no, i had no idea.",greeting
448,448,"well, she did, her baby was 8 pounds 6 ounces.",greeting
449,449,"oh my god, that's great!",greeting
450,450,are you going to go and visit her and the baby?,greeting
451,451,i think that i might.,greeting
452,452,good! i just thought i'd let you know.,greeting
453,453,have you heard what happened?,greeting
454,454,heard what?,greeting
455,455,debrah already had her baby.,greeting
456,456,i didn't know that.,greeting
457,457,i thought you knew.,greeting
458,458,i honestly didn't know.,greeting
459,459,the baby was 8 pounds 6 ounces.,greeting
460,460,that's good to hear.,greeting
461,461,will you go and visit them?,greeting
462,462,of course i will.,greeting
463,463,i just wanted to give you the good news.,greeting
464,464,have you heard the news?,greeting
465,465,i haven't heard anything.,greeting
466,466,debrah had her baby last week.,greeting
467,467,nobody told me.,greeting
468,468,i thought you heard.,greeting
469,469,i really wasn't told anything.,greeting
470,470,she was a cute 8 pounds 6 ounces.,greeting
471,471,"wow, how exciting.",greeting
472,472,"i know, you should really go and see her and the baby.",greeting
473,473,of course i will.,greeting
474,474,did you go to school today?,greeting
475,475,of course. did you?,greeting
476,476,"i didn't want to, so i didn't.",greeting
477,477,"that's sad, but have you gone to the movies recently?",greeting
478,478,that's a switch.,greeting
479,479,"i'm serious, have you?",greeting
480,480,"no, i haven't. why?",greeting
481,481,i really want to go to the movies this weekend.,greeting
482,482,so go then.,greeting
483,483,i really don't want to go by myself.,greeting
484,484,"well anyway, do you plan on going to school tomorrow?",greeting
485,485,did you make it to school today?,greeting
486,486,i always do. did you go to school today?,greeting
487,487,"no, i didn't.",greeting
488,488,"you should have, but have you seen any movies lately?",greeting
489,489,that was an odd change of subject.,greeting
490,490,"maybe it was, but answer the question.",greeting
491,491,"no, not recently.",greeting
492,492,i want to go to see a movie this weekend.,greeting
493,493,what's stopping you then?,greeting
494,494,i don't want to go alone.,greeting
495,495,"so, will you be at school tomorrow?",greeting
496,496,did you even bother to go to school today?,greeting
497,497,"yeah, i went. did you go?",greeting
498,498,"no, i didn't feel like it.",greeting
499,499,"that's nice, have you been to the movies lately?",greeting
500,500,"no, but that was a random change of subject.",greeting
501,501,"it may have been random, but have you?",greeting
502,502,i haven't lately.,greeting
503,503,i would love to catch a movie this weekend.,greeting
504,504,"so then, why don't you just go?",greeting
505,505,i don't want to see a movie by myself.,greeting
506,506,thanks for coming to see me today.,greeting
507,507,it's no problem. i was really missing you anyway.,greeting
508,508,i missed you too.,greeting
509,509,why haven't you tried to come see me then?,greeting
510,510,i've been really busy.,greeting
511,511,doing what?,greeting
512,512,working.,greeting
513,513,"i would've come to see you sooner, but i've been busy too.",greeting
514,514,what have you been doing?,greeting
515,515,i've been working too.,greeting
516,516,"well regardless, i'm very happy that you came to see me.",greeting
517,517,i'm really glad that you came to see me.,greeting
518,518,i had to. i was missing you a lot.,greeting
519,519,i was missing you too.,greeting
520,520,"so, why haven't you visited me?",greeting
521,521,i've actually been busy lately.,greeting
522,522,what have you been doing?,greeting
523,523,i've just been working really hard.,greeting
524,524,i've also been busy.,greeting
525,525,tell me what you've been doing.,greeting
526,526,"basically, i've been working too.",greeting
527,527,"well whatever, i'm glad you came.",greeting
528,528,i'm really happy that you came to visit me.,greeting
529,529,i really missed you a lot.,greeting
530,530,i've been missing you like crazy.,greeting
531,531,i don't understand why you haven't come to visit me.,greeting
532,532,"lately, i've been quite busy.",greeting
533,533,tell me what you've been up to.,greeting
534,534,i've really been working a lot lately.,greeting
535,535,i've been pretty busy myself.,greeting
536,536,so what have you been up to?,greeting
537,537,i've just been working a lot.,greeting
538,538,"hey, did you hear about jessica's party this weekend?",greeting
539,539,"yeah, but i'm still waiting for my invitation.",greeting
540,540,oh really? she gave me mine earlier today.,greeting
541,541,"well, she'll probably just give me my invitation later on today.",greeting
542,542,"yeah, so are you planning on going?",greeting
543,543,i think so. it sounds like it's going to be a lot of fun.,greeting
544,544,"it really does, i can't wait.",greeting
545,545,what time does the party start?,greeting
546,546,it starts at 8 o'clock.,greeting
547,547,"oh, well, how many people has she given invites to so far?",greeting
548,548,"i'm not sure, but i don't think she's given out that many.",greeting
549,549,have you heard about jessica's party on saturday?,greeting
550,550,"i've heard about it, but i'm still waiting for my invitation.",greeting
551,551,really? i got mine from her this morning.,greeting
552,552,i'm guessing that she's going to give me my invite today or tomorrow.,greeting
553,553,"you're probably right, do you intend on going to the party?",greeting
554,554,i want to. i heard it's going to be really fun.,greeting
555,555,"i know, it does sound pretty awesome.",greeting
556,556,"well, when does the party start?",greeting
557,557,it's supposed to start at about eight.,greeting
558,558,how many invitations has she given out?,greeting
559,559,"i really don't know, but i don't think she gave out that many yet.",greeting
560,560,has anyone told you about jessica's party coming up?,greeting
561,561,i was told about it already. i'm just waiting for my invitation.,greeting
562,562,is that right? i already got my invitation from her earlier.,greeting
563,563,i believe that she will give me the invitation today.,greeting
564,564,are you even going to go?,greeting
565,565,"yeah, it sounds like it's going to be the best party of the year.",greeting
566,566,"exactly, it seems like it's going to be loads of fun.",greeting
567,567,when exactly does the party start?,greeting
568,568,the invitation says it starts at 8:00 p.m.,greeting
569,569,has she given out a lot of invitations yet?,greeting
570,570,"hey, what's up?",greeting
571,571,nothing really.,greeting
572,572,i'm throwing a party on friday.,greeting
573,573,i didn't realize that.,greeting
574,574,you didn't?,greeting
575,575,nobody has told me anything about your party.,greeting
576,576,did you want to go?,greeting
577,577,when does it start?,greeting
578,578,at 8:00 p.m.,greeting
579,579,i'll be there.,greeting
580,580,i'd better see you there.,greeting
581,581,what's going on with you?,greeting
582,582,fine. what's going on with you?,greeting
583,583,i'm having a party this friday.,greeting
584,584,i had no idea.,greeting
585,585,is that right?,greeting
586,586,i didn't hear anything about it.,greeting
587,587,can you go?,greeting
588,588,what time?,greeting
589,589,it starts at 8 o'clock.,greeting
590,590,i'll go.,greeting
591,591,i hope that i'll see you there.,greeting
592,592,what's going on?,greeting
593,593,not much.,greeting
594,594,"this friday, i'm throwing a party.",greeting
595,595,oh really? i didn't know that.,greeting
596,596,are you serious?,greeting
597,597,i haven't heard anything about it.,greeting
598,598,can you make it?,greeting
599,599,what time does it start?,greeting
600,600,the party starts at 8.,greeting
601,601,"yeah, i think i'll go.",greeting
602,602,what's going on?,greeting
603,603,"nothing really, you?",greeting
604,604,i'm throwing a party next saturday.,greeting
605,605,is that right?,greeting
606,606,"yeah, are you going to come?",greeting
607,607,"i'm sorry, i can't.",greeting
608,608,why not?,greeting
609,609,i don't really want to.,greeting
610,610,"well, why don't you?",greeting
611,611,i hate going to parties.,greeting
612,612,"well, that's okay.",greeting
613,613,what's up?,greeting
614,614,"nothing, how about you?",greeting
615,615,"next saturday, i'm going to have a party.",greeting
616,616,"oh, really?",greeting
617,617,you are coming?,greeting
618,618,probably not.,greeting
619,619,why is that?,greeting
620,620,i don't feel like going.,greeting
621,621,why not?,greeting
622,622,i really can't stand going to parties.,greeting
623,623,"i understand, i guess.",greeting
624,624,what's happening?,greeting
625,625,"not a lot, what about you?",greeting
626,626,i'm having a party next saturday.,greeting
627,627,that's nice.,greeting
628,628,are you going to be there?,greeting
629,629,i don't think so.,greeting
630,630,is there a reason why?,greeting
631,631,i just really don't want to go.,greeting
632,632,how come?,greeting
633,633,i don't really like parties.,greeting
634,634,what's up?,greeting
635,635,"nothing much, what's going on?",greeting
636,636,i'm having a party this friday.,greeting
637,637,"oh, really? that's nice.",greeting
638,638,i wanted to see if you wanted to come.,greeting
639,639,"this friday? sorry, i already have plans.",greeting
640,640,doing what?,greeting
641,641,i'm going to dinner with my family.,greeting
642,642,"i really wanted you to come, but i understand.",greeting
643,643,"yeah, maybe next time.",greeting
644,644,i'll hold you to that.,greeting
645,645,"hey, what's good with you?",greeting
646,646,not a lot. what about you?,greeting
647,647,i'm throwing a party on friday.,greeting
648,648,that sounds like fun.,greeting
649,649,do you think you can come?,greeting
650,650,i'm sorry. i'm already doing something this friday.,greeting
651,651,what are you going to be doing?,greeting
652,652,my family and i are going to dinner.,greeting
653,653,i was hoping you would come.,greeting
654,654,i'll definitely try to make it the next time.,greeting
655,655,i'd better see you there.,greeting
656,656,what's going on?,greeting
657,657,nothing really. how about you?,greeting
658,658,"a lot, like the party i'm having on friday.",greeting
659,659,"well, that's cool.",greeting
660,660,will you be able to make it?,greeting
661,661,i'm busy this friday. i'm sorry.,greeting
662,662,what do you have to do?,greeting
663,663,i'm having dinner with my family,greeting
664,664,maybe you can come next time.,greeting
665,665,i'll make sure and come to your next party.,greeting
666,666,it was nice talking to you.,greeting
667,667,why are you trying to rush me off the phone?,greeting
668,668,i really have to go.,greeting
669,669,why? i still wanted to talk to you.,greeting
670,670,i have things to do.,greeting
671,671,like what?,greeting
672,672,don't be nosey.,greeting
673,673,i'm not. i just want to know.,greeting
674,674,"well, it's really none of your business.",greeting
675,675,that's harsh.,greeting
676,676,"i'm sorry, but i have to go.",greeting
677,677,i've enjoyed conversing with you.,greeting
678,678,is there a reason why you're trying to get off the phone so fast?,greeting
679,679,i've got to go.,greeting
680,680,i wasn't done talking to you.,greeting
681,681,"i have to do some things, and besides, it's not polite to be nosey.",greeting
682,682,i'm not being nosey. i'm just asking.,greeting
683,683,i really don't think it's any of your business.,greeting
684,684,that's not nice.,greeting
685,685,"i apologize, but i'm getting off the phone now.",greeting
686,686,i'll talk to you later.,greeting
687,687,what's the rush?,greeting
688,688,i have to get off the phone now.,greeting
