,idx,question,answer
0,16069.0,Providing information on Construction Planning under the authority of the Provincial People's Committee,Construction planning |receiver_place: Provincial public administration center |time_process: 15 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16069
20,19610.0,How to adjust the Construction Investment Feasibility Study Report,Appraisal of Feasibility Study Report |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19610
21,19610.0,Application for adjustment of construction investment feasibility study report,Appraisal of Feasibility Study Report |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19610
22,19610.0,Procedures for adjusting the Construction Investment Feasibility Study Report,Appraisal of Feasibility Study Report |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19610
23,19610.0,Conditions for adjusting the Construction Investment Feasibility Study Report,Appraisal of Feasibility Study Report |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19610
28,16070.0,Providing information on construction planning under the authority of the district People's Committee,Construction planning falls under the authority of the district People's Committee |receiver_place: Provincial public administration center |time_process: 15 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16070
29,16070.0,The method of providing information on construction planning falls under the authority of the district-level People's Committee,Construction planning falls under the authority of the district People's Committee |receiver_place: Provincial public administration center |time_process: 15 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16070
30,16070.0,Measures to provide information on construction planning fall under the authority of the district-level People's Committee,Construction planning falls under the authority of the district People's Committee |receiver_place: Provincial public administration center |time_process: 15 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16070
31,16070.0,Procedures for providing information on construction planning fall under the authority of the district People's Committee,Construction planning falls under the authority of the district People's Committee |receiver_place: Provincial public administration center |time_process: 15 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16070
32,16070.0,How to provide information about construction planning under the authority of the district People's Committee,Construction planning falls under the authority of the district People's Committee |receiver_place: Provincial public administration center |time_process: 15 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16070
33,16070.0,The method of providing information on construction planning falls under the authority of the district People's Committee,Construction planning falls under the authority of the district People's Committee |receiver_place: Provincial public administration center |time_process: 15 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16070
45,8328.0,Receive declaration of products and construction materials conforming to technical regulations,Receive declaration of products and construction materials conforming to technical regulations |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/8328
46,8328.0,Register to receive declaration of products and goods of construction materials in accordance with technical regulations,Receive declaration of products and construction materials conforming to technical regulations |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/8328
47,8328.0,Procedures for receiving declaration of products and goods of construction materials in accordance with technical regulations,Receive declaration of products and construction materials conforming to technical regulations |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/8328
48,8328.0,Application for receipt of declaration of products and goods of construction materials in accordance with technical regulations,Receive declaration of products and construction materials conforming to technical regulations |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/8328
49,8328.0,Conditions for receiving declaration of products and goods of construction materials in accordance with technical regulations,Receive declaration of products and construction materials conforming to technical regulations |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/8328
58,17558.0,Issuance of renewal of class II and class III construction practice certificates,Issuance of renewal of class II and class III construction practice certificates |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17558
59,17558.0,Register for renewal of class II and class III construction practice certificates,Issuance of renewal of class II and class III construction practice certificates |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17558
60,17558.0,Conditions for granting renewal of class II and class III construction practice certificates,Issuance of renewal of class II and class III construction practice certificates |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17558
61,17558.0,"Application for renewal of class II, class III construction practice certificate",Issuance of renewal of class II and class III construction practice certificates |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17558
62,17558.0,Procedures for granting renewal of class II and class III construction practice certificates,Issuance of renewal of class II and class III construction practice certificates |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17558
63,11192.0,"Issue certificates of capacity for construction activities for the first time, class II and class III","Information about the first issuance of certificates of capacity for construction activities, class II and class III |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11192"
64,11192.0,"Register for Certificate of capacity for construction activities for the first time, class II, class III","Information about the first issuance of certificates of capacity for construction activities, class II and class III |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11192"
65,11192.0,"Application for issuance of Certificate of capacity for construction activities for the first time, class II, class III","Information about the first issuance of certificates of capacity for construction activities, class II and class III |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11192"
66,11192.0,"Conditions for being granted a Certificate of capacity for construction activities for the first time, class II, class III","Information about the first issuance of certificates of capacity for construction activities, class II and class III |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11192"
67,11192.0,"Procedures for granting certificates of capacity for construction activities for the first time, class II, class III","Information about the first issuance of certificates of capacity for construction activities, class II and class III |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11192"
68,11195.0,Issuing adjustments and supplements to the contents of class II and class III construction activity capacity certificates,Issuing adjustments and supplements to the contents of class II and class III construction activity capacity certificates |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11195
69,11195.0,Register for adjustment and supplementation of content of class II and class III construction activity capacity certificates,Issuing adjustments and supplements to the contents of class II and class III construction activity capacity certificates |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11195
70,11195.0,Application for issuance of adjustment and supplementation of content of certificate of capacity for construction activities of class II and III,Issuing adjustments and supplements to the contents of class II and class III construction activity capacity certificates |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11195
71,11195.0,Procedures for granting adjustments and supplements to the content of class II and class III construction activity capacity certificates,Issuing adjustments and supplements to the contents of class II and class III construction activity capacity certificates |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11195
72,11195.0,Conditions for the Level to adjust and supplement the content of class II and class III construction activity capacity certificates,Issuing adjustments and supplements to the contents of class II and class III construction activity capacity certificates |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11195
73,11200.0,Issuing and adjusting the class of construction practice certificates to class II and class III,Issuing and adjusting the class of construction practice certificates to class II and class III |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11200
74,11200.0,"Register for level adjustment of construction practice certificate class II, class III",Issuing and adjusting the class of construction practice certificates to class II and class III |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11200
75,11200.0,Procedures for granting adjustment of class II and III construction practice certificates,Issuing and adjusting the class of construction practice certificates to class II and class III |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11200
76,11200.0,"Conditions to be granted an adjusted level of construction practice certificate class II, class III",Issuing and adjusting the class of construction practice certificates to class II and class III |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11200
77,11200.0,Application for adjustment of class II and III construction practice certificates,Issuing and adjusting the class of construction practice certificates to class II and class III |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11200
78,11201.0,Issue adjustments and supplements to the contents of class II and class III construction practice certificates,Issue adjustments and supplements to the contents of class II and class III construction practice certificates |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11201
79,11201.0,Register to issue adjustments and supplements to the content of class II and class III construction practice certificates,Issue adjustments and supplements to the contents of class II and class III construction practice certificates |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11201
80,11201.0,Procedures for granting adjustments and supplements to the contents of class II and class III construction practice certificates,Issue adjustments and supplements to the contents of class II and class III construction practice certificates |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11201
81,11201.0,Application for issuance of adjustment and supplementation of content of class II and class III construction practice certificate,Issue adjustments and supplements to the contents of class II and class III construction practice certificates |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11201
82,11201.0,Conditions for issuance of adjustment and supplementation of the content of class II and class III construction practice certificates,Issue adjustments and supplements to the contents of class II and class III construction practice certificates |receiver_place: Provincial public administration center |time_process: 20 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11201
83,11205.0,Re-issuance of class II and class III construction practice certificates (in case the certificate is lost or damaged),"Re-issue of construction practice certificate class II, class III (lost, damaged) |receiver_place: Provincial public administration center |time_process: 10 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11205"
84,11205.0,"Register for re-issuance of class II, III construction practice certificate (in case the certificate is lost or damaged)","Re-issue of construction practice certificate class II, class III (lost, damaged) |receiver_place: Provincial public administration center |time_process: 10 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11205"
85,11205.0,"Application for re-issuance of class II, III construction practice certificate (in case the certificate is lost or damaged)","Re-issue of construction practice certificate class II, class III (lost, damaged) |receiver_place: Provincial public administration center |time_process: 10 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11205"
86,11205.0,"Conditions for re-issuance of class II, III construction practice certificate (in case the certificate is lost or damaged)","Re-issue of construction practice certificate class II, class III (lost, damaged) |receiver_place: Provincial public administration center |time_process: 10 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11205"
87,11205.0,Procedures for re-issuance of class II and III construction practice certificates (in case the certificate is lost or damaged),"Re-issue of construction practice certificate class II, class III (lost, damaged) |receiver_place: Provincial public administration center |time_process: 10 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/11205"
89,16474.0,Appraisal of Construction Investment Feasibility Study Report/ Adjustment of Construction Investment Feasibility Study Report,Appraisal of Construction Investment Feasibility Study Report/ Adjustment of Construction Investment Feasibility Study Report |receiver_place: Provincial public administration center |time_process: 35 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16474
90,16474.0,Register for Appraisal of Construction Investment Feasibility Study Report/ Adjustment of Construction Investment Feasibility Study Report,Appraisal of Construction Investment Feasibility Study Report/ Adjustment of Construction Investment Feasibility Study Report |receiver_place: Provincial public administration center |time_process: 35 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16474
91,16474.0,Application for Appraisal of Construction Investment Feasibility Study Report/ Adjustment of Construction Investment Feasibility Study Report,Appraisal of Construction Investment Feasibility Study Report/ Adjustment of Construction Investment Feasibility Study Report |receiver_place: Provincial public administration center |time_process: 35 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16474
92,16474.0,Procedures for Appraisal of Construction Investment Feasibility Study Report/ Adjustment of Construction Investment Feasibility Study Report,Appraisal of Construction Investment Feasibility Study Report/ Adjustment of Construction Investment Feasibility Study Report |receiver_place: Provincial public administration center |time_process: 35 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16474
93,16474.0,Necessary conditions when appraising the construction investment feasibility study report/adjusting the construction investment feasibility study report,Appraisal of Construction Investment Feasibility Study Report/ Adjustment of Construction Investment Feasibility Study Report |receiver_place: Provincial public administration center |time_process: 35 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16474
94,19609.0,Appraisal of construction design implemented after basic design/adjustment of construction design implemented after basic design,Construction design appraisal |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19609
95,19609.0,Construction design appraisal procedures are implemented after the basic design,Construction design appraisal |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19609
96,19609.0,Construction design appraisal documents are implemented after the basic design,Construction design appraisal |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19609
97,19609.0,Conditions for appraisal of construction design implemented after basic design,Construction design appraisal |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19609
98,19609.0,How to evaluate construction design implemented after basic design,Construction design appraisal |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19609
99,19609.0,Construction design adjustment documents are implemented after the basic design,Construction design appraisal |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19609
100,19609.0,Procedures for adjusting construction design are implemented after the basic design,Construction design appraisal |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19609
101,19609.0,Conditions for adjustment Construction design is implemented after the basic design,Construction design appraisal |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19609
102,19609.0,Adjustment steps Construction design is implemented after the basic design,Construction design appraisal |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19609
103,16473.0,Appraisal of construction design implemented after basic design/adjustment of construction design implemented after basic design,Appraisal of construction design implemented after basic design/adjustment of construction design implemented after basic design |receiver_place: Provincial public administration center |time_process: 25 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16473
104,16473.0,Register for Appraisal of construction design implemented after basic design/adjustment Construction design implemented after basic design,Appraisal of construction design implemented after basic design/adjustment of construction design implemented after basic design |receiver_place: Provincial public administration center |time_process: 25 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16473
105,16473.0,Procedures for appraisal of construction design implemented after basic design/adjustment of construction design implemented after basic design,Appraisal of construction design implemented after basic design/adjustment of construction design implemented after basic design |receiver_place: Provincial public administration center |time_process: 25 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16473
106,16473.0,Application for appraisal of construction design implemented after basic design/adjustment of construction design implemented after basic design,Appraisal of construction design implemented after basic design/adjustment of construction design implemented after basic design |receiver_place: Provincial public administration center |time_process: 25 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16473
107,16473.0,Necessary conditions when appraising construction design implemented after basic design/adjusting construction design implemented after basic design,Appraisal of construction design implemented after basic design/adjustment of construction design implemented after basic design |receiver_place: Provincial public administration center |time_process: 25 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16473
113,15811.0,Transfer to the name of the owner of a specialized motorbike in the same province or city.,"transfer to the name of the owner of a specialized motorbike in the same province or city |receiver_place: Provincial public administration center |time_process: 3 days |cost: 50,000 VND/time |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15811"
114,15811.0,Procedures for transferring the name of the owner of a specialized motorbike in the same province,"transfer to the name of the owner of a specialized motorbike in the same province or city |receiver_place: Provincial public administration center |time_process: 3 days |cost: 50,000 VND/time |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15811"
115,15811.0,Steps to transfer to the name of the owner of a specialized motorbike in the same province,"transfer to the name of the owner of a specialized motorbike in the same province or city |receiver_place: Provincial public administration center |time_process: 3 days |cost: 50,000 VND/time |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15811"
116,15811.0,Procedures for transferring the name of the owner of a specialized motorbike in the same city,"transfer to the name of the owner of a specialized motorbike in the same province or city |receiver_place: Provincial public administration center |time_process: 3 days |cost: 50,000 VND/time |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15811"
117,15811.0,Steps to transfer the name of the owner of a special-use motorbike in the same city,"transfer to the name of the owner of a specialized motorbike in the same province or city |receiver_place: Provincial public administration center |time_process: 3 days |cost: 50,000 VND/time |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15811"
122,17953.0,Extension of circulation time in Vietnam for Lao vehicles,Extension of circulation in Vietnam for Lao vehicles |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17953
123,17953.0,How Lao vehicles need to extend their circulation time?,Extension of circulation in Vietnam for Lao vehicles |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17953
124,17953.0,"Once the Lao car's circulation expires, it will require dental work",Extension of circulation in Vietnam for Lao vehicles |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17953
125,17953.0,Procedures for extending vehicle circulation time in Laos,Extension of circulation in Vietnam for Lao vehicles |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17953
126,17953.0,What to do when the validity period of Lao vehicles expires?,Extension of circulation in Vietnam for Lao vehicles |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17953
129,17957.0,"Extension of approval for construction of essential works, approval for construction at the same time as issuance of construction permit for essential works within the protection scope of road traffic infrastructure of national highways and expressways The expressway being operated is under the management of the Ministry of Transport",Apply for extension of construction approval at the same time as issuance of essential construction permit |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17957
136,14309.0,Issuing a license for car transport business,issue a license for car transport business |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14309
137,14309.0,Apply for a car transport business license,issue a license for car transport business |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14309
138,14309.0,Procedures for granting a car transport business license,issue a license for car transport business |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14309
139,14309.0,How to get a car transport business license?,issue a license for car transport business |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14309
140,14309.0,Steps for granting a car transport business license,issue a license for car transport business |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14309
141,14303.0,Re-issuance of the Automobile Transport Business License when there is a change related to the content of the Business License or the Business License is revoked or stripped of the right to use.,Re-issue the car transport business license when the license is revoked |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14303
142,14303.0,Please re-issue the car transport business license when changing the content,Re-issue the car transport business license when the license is revoked |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14303
143,14303.0,Procedures for reissuing a car transport business license when changing content,Re-issue the car transport business license when the license is revoked |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14303
144,14303.0,Application for re-issuance of car transport business license when content is changed,Re-issue the car transport business license when the license is revoked |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14303
145,14303.0,Please re-issue your car transport business license when it is revoked,Re-issue the car transport business license when the license is revoked |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14303
146,14303.0,Procedures for re-issuance of car transport business license when revoked,Re-issue the car transport business license when the license is revoked |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14303
147,14303.0,Application for re-issuance of car transport business license when revoked,Re-issue the car transport business license when the license is revoked |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14303
148,14304.0,Re-issuance of the car transport business license in case the business license is lost or damaged,Reissue of car transport business license when the license is lost or damaged |receiver_place: Provincial public administration center |time_process: 3 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14304
149,14304.0,Please re-issue your car transport business license when it is damaged,Reissue of car transport business license when the license is lost or damaged |receiver_place: Provincial public administration center |time_process: 3 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14304
150,14304.0,Procedures for reissuing a car transport business license when it is damaged,Reissue of car transport business license when the license is lost or damaged |receiver_place: Provincial public administration center |time_process: 3 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14304
151,14304.0,Please re-issue your car transport business license when it is lost,Reissue of car transport business license when the license is lost or damaged |receiver_place: Provincial public administration center |time_process: 3 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14304
152,14304.0,Procedures for reissuing a car transport business license when lost,Reissue of car transport business license when the license is lost or damaged |receiver_place: Provincial public administration center |time_process: 3 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14304
153,15783.0,Issuing driving license,issuance of driving license |receiver_place: Provincial public administration center |time_process: 1 day |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15783
154,15783.0,Apply for a driving license,issuance of driving license |receiver_place: Provincial public administration center |time_process: 1 day |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15783
155,15783.0,Procedures for issuance of driving practice vehicle licenses,issuance of driving license |receiver_place: Provincial public administration center |time_process: 1 day |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15783
156,15783.0,Application for a driving license,issuance of driving license |receiver_place: Provincial public administration center |time_process: 1 day |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15783
157,15783.0,Steps to issue a driving license,issuance of driving license |receiver_place: Provincial public administration center |time_process: 1 day |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15783
158,15819.0,Licensing the construction of intersections connecting provincial roads and authorized national highways.,License to construct intersections connecting to provincial roads and national highways |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15819
159,15819.0,Apply for a permit to construct an intersection connecting to the provincial road and the authorized national highway.,License to construct intersections connecting to provincial roads and national highways |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15819
160,15819.0,Licensing procedures for the construction of intersections connecting to provincial roads and authorized national highways.,License to construct intersections connecting to provincial roads and national highways |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15819
161,15819.0,Licensing documents for construction of intersections connecting to provincial roads and authorized national highways.,License to construct intersections connecting to provincial roads and national highways |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15819
162,15819.0,Steps for licensing the construction of intersections connecting to provincial roads and authorized national highways.,License to construct intersections connecting to provincial roads and national highways |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15819
163,15813.0,"Issuing licenses to circulate overweight vehicles, oversized vehicles, crawler vehicles, vehicles transporting oversized and oversized goods on the road.","Issue licenses to circulate overweight vehicles, oversized vehicles, and crawler vehicles on roads |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15813"
164,15813.0,Apply for a license to operate overweight vehicles on the road,"Issue licenses to circulate overweight vehicles, oversized vehicles, and crawler vehicles on roads |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15813"
