,idx,question,answer
0,17975.0,Issuing (re-issuing/ renewing/ extending) Class II surveying and mapping practice certificates,Issuing a Class II surveying and mapping practice certificate |receiver_place: Provincial public administration center |time_process: 10 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17975
49,19426.0,"Procedure for registering and granting Certificate of land use rights, ownership of housing and other assets attached to land for the first time","Procedures for registration and issuance of Certificate of land use rights, ownership of houses and other assets attached to land for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19426"
50,19427.0,"Procedures for granting Certificate of land use rights, ownership of houses and other assets attached to land to people who have registered land use rights for the first time","Procedures for granting Certificate of land use rights, ownership of houses and other assets attached to land to people who have registered land use rights for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19427"
51,19427.0,"Register to issue a Certificate of land use rights, ownership of houses and other assets attached to land for people who have registered land use rights for the first time","Procedures for granting Certificate of land use rights, ownership of houses and other assets attached to land to people who have registered land use rights for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19427"
52,19427.0,"Conditions for being granted a Certificate of land use rights, ownership of houses and other assets attached to land for people who have registered land use rights for the first time","Procedures for granting Certificate of land use rights, ownership of houses and other assets attached to land to people who have registered land use rights for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19427"
53,19427.0,"I want to be granted a Certificate of land use rights, ownership of houses and other assets attached to land, what should I do for people who have registered land use rights for the first time?","Procedures for granting Certificate of land use rights, ownership of houses and other assets attached to land to people who have registered land use rights for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19427"
54,19427.0,"How to get a Certificate of land use rights, ownership of houses and other assets attached to land for people who have registered land use rights for the first time","Procedures for granting Certificate of land use rights, ownership of houses and other assets attached to land to people who have registered land use rights for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19427"
55,19410.0,"Procedures for registration and issuance of Certificate of land use rights, ownership of houses and other assets attached to land for the first time","Procedures for registration and issuance of Certificate of land use rights, ownership of houses and other assets attached to land for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19410"
56,19410.0,"Application for registration and issuance of Certificate of land use rights, ownership of housing and other assets attached to land for the first time","Procedures for registration and issuance of Certificate of land use rights, ownership of houses and other assets attached to land for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19410"
57,19410.0,"Conditions for registration and issuance of Certificate of land use rights, ownership of houses and other assets attached to land for the first time","Procedures for registration and issuance of Certificate of land use rights, ownership of houses and other assets attached to land for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19410"
58,19410.0,"I want to register and issue a Certificate of land use rights, ownership of houses and other assets attached to land for the first time.","Procedures for registration and issuance of Certificate of land use rights, ownership of houses and other assets attached to land for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19410"
59,19410.0,"Steps to register and issue a Certificate of land use rights, ownership of housing and other assets attached to land for the first time","Procedures for registration and issuance of Certificate of land use rights, ownership of houses and other assets attached to land for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19410"
60,19410.0,"How to register and issue a Certificate of land use rights, ownership of houses and other assets attached to land for the first time","Procedures for registration and issuance of Certificate of land use rights, ownership of houses and other assets attached to land for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19410"
61,19411.0,"Procedures for granting Certificate of land use rights, ownership of houses and other assets attached to land to people who have registered land use rights for the first time","Procedures for granting Certificate of land use rights, ownership of houses and other assets attached to land to people who have registered land use rights for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19411"
62,19411.0,"Dossier to apply for a Certificate of land use rights, ownership of housing and other assets attached to land for people who have registered land use rights for the first time","Procedures for granting Certificate of land use rights, ownership of houses and other assets attached to land to people who have registered land use rights for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19411"
63,19411.0,"Conditions for granting a Certificate of land use rights, ownership of housing and other assets attached to land to people who have registered land use rights for the first time","Procedures for granting Certificate of land use rights, ownership of houses and other assets attached to land to people who have registered land use rights for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19411"
64,19411.0,"I want to issue a Certificate of land use rights, ownership of houses and other assets attached to land to the person who registered land use rights for the first time.","Procedures for granting Certificate of land use rights, ownership of houses and other assets attached to land to people who have registered land use rights for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19411"
65,19411.0,"Steps to issue a Certificate of land use rights, ownership of housing and other assets attached to land to people who have registered land use rights for the first time","Procedures for granting Certificate of land use rights, ownership of houses and other assets attached to land to people who have registered land use rights for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19411"
66,19411.0,"How to issue a Certificate of land use rights, ownership of houses and other assets attached to land to people who have registered land use rights for the first time","Procedures for granting Certificate of land use rights, ownership of houses and other assets attached to land to people who have registered land use rights for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19411"
67,19445.0,Procedures for registering changes in assets attached to land in the issued Certificate,Procedures for registering changes in assets attached to land in the issued Certificate |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19445
68,19445.0,Conditions for changing assets attached to land in the issued Certificate,Procedures for registering changes in assets attached to land in the issued Certificate |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19445
69,19445.0,I want to learn more about the procedure for registering changes to assets attached to land in the issued Certificate,Procedures for registering changes in assets attached to land in the issued Certificate |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19445
70,19445.0,How to change assets attached to land to the issued Certificate,Procedures for registering changes in assets attached to land in the issued Certificate |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19445
71,19445.0,Adjust procedures for registering changes in assets attached to land to the issued Certificate,Procedures for registering changes in assets attached to land in the issued Certificate |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19445
72,19413.0,Procedures for registering changes in assets attached to land in the issued Certificate,Procedures for registering changes in assets attached to land in the issued Certificate |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19413
73,19413.0,Application for registration of changes in assets attached to land in the issued Certificate,Procedures for registering changes in assets attached to land in the issued Certificate |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19413
74,19413.0,I want to register changes in assets attached to land in the issued Certificate,Procedures for registering changes in assets attached to land in the issued Certificate |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19413
75,19413.0,Prepare to register changes in assets attached to land in the issued Certificate,Procedures for registering changes in assets attached to land in the issued Certificate |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19413
76,19413.0,How to register changes in assets attached to land in the issued Certificate,Procedures for registering changes in assets attached to land in the issued Certificate |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19413
77,19413.0,Conditions for registering changes to assets attached to land in the issued Certificate,Procedures for registering changes in assets attached to land in the issued Certificate |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19413
78,19413.0,Steps to register changes in assets attached to land in the issued Certificate,Procedures for registering changes in assets attached to land in the issued Certificate |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19413
79,19145.0,Procedures for changing land use purposes must be permitted by competent state agencies for households and individuals,Procedures for changing land use purposes must be permitted by competent state agencies for households and individuals |receiver_place: Provincial public administration center |time_process: 15 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19145
80,19145.0,Registration dossiers and procedures for changing land use purposes must be approved by a competent state agency for households and individuals.,Procedures for changing land use purposes must be permitted by competent state agencies for households and individuals |receiver_place: Provincial public administration center |time_process: 15 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19145
81,19145.0,"When to change the land use purpose, permission from the competent state agency for households and individuals must be obtained.",Procedures for changing land use purposes must be permitted by competent state agencies for households and individuals |receiver_place: Provincial public administration center |time_process: 15 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19145
82,19145.0,Conditions for the procedure to change land use purpose must be permission from a competent state agency for households and individuals.,Procedures for changing land use purposes must be permitted by competent state agencies for households and individuals |receiver_place: Provincial public administration center |time_process: 15 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19145
83,19145.0,Regulations on procedures for changing land use purposes require permission from competent state agencies for households and individuals.,Procedures for changing land use purposes must be permitted by competent state agencies for households and individuals |receiver_place: Provincial public administration center |time_process: 15 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19145
84,19442.0,Procedures for dividing or combining land plots,Procedures for dividing or combining land plots |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19442
85,19442.0,Register to split or combine land plots,Procedures for dividing or combining land plots |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19442
86,19442.0,Necessary conditions when carrying out procedures for dividing or consolidating land plots,Procedures for dividing or combining land plots |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19442
87,19442.0,"I want to separate or combine plots of land, what should I do?",Procedures for dividing or combining land plots |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19442
88,19442.0,How to carry out procedures for dividing or merging land plots,Procedures for dividing or combining land plots |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19442
89,10071.0,Procedures for providing data on land,Procedures for providing data on land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/10071
90,10071.0,Registration documents and procedures provide data on land,Procedures for providing data on land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/10071
91,10071.0,Documents related to procedures for providing land data,Procedures for providing data on land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/10071
92,10071.0,Regulations on procedures for providing data on land,Procedures for providing data on land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/10071
93,10071.0,When can I register to provide land data?,Procedures for providing data on land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/10071
94,19407.0,Procedures for dividing or combining land plots,Procedures for dividing or combining land plots |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19407
95,19407.0,Conditions for dividing or combining land plots,Procedures for dividing or combining land plots |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19407
96,19407.0,Application for separation or consolidation of land plot,Procedures for dividing or combining land plots |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19407
97,19407.0,How to split or combine plots of land,Procedures for dividing or combining land plots |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19407
98,19407.0,When can you separate or combine land plots?,Procedures for dividing or combining land plots |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19407
99,19407.0,Making teeth to separate or merge plots of land,Procedures for dividing or combining land plots |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19407
100,19443.0,"Procedures for renewing Certificates of land use rights, ownership of houses and other assets attached to land","Procedures for renewing Certificates of land use rights, ownership of houses and other assets attached to land |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19443"
101,19443.0,"Register to renew the Certificate of land use rights, ownership of houses and other assets attached to land","Procedures for renewing Certificates of land use rights, ownership of houses and other assets attached to land |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19443"
102,19443.0,"Conditions for renewal of Certificate of land use rights, ownership of houses and other assets attached to land","Procedures for renewing Certificates of land use rights, ownership of houses and other assets attached to land |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19443"
103,19443.0,"I want to have my Certificate of land use rights, ownership of houses and other assets attached to land renewed, what should I do?","Procedures for renewing Certificates of land use rights, ownership of houses and other assets attached to land |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19443"
104,19443.0,"Application for replacement of Certificate of land use rights, ownership of housing and other assets attached to land","Procedures for renewing Certificates of land use rights, ownership of houses and other assets attached to land |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19443"
105,19444.0,Procedures for correction of issued Certificates,Procedures for correction of issued Certificates |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19444
106,19444.0,Application for registration of correction procedures of issued Certificate,Procedures for correction of issued Certificates |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19444
107,19444.0,Adjust procedures for correcting issued Certificates,Procedures for correction of issued Certificates |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19444
108,19444.0,want to know details about the procedure for correcting the issued Certificate,Procedures for correction of issued Certificates |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19444
109,19444.0,Application for registration of correction procedures of issued Certificate,Procedures for correction of issued Certificates |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19444
110,19452.0,Procedures for reissuing the Certificate or reissuing an additional page of the Certificate due to loss,Procedures for reissuing the Certificate or reissuing an additional page of the Certificate due to loss |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19452
111,19452.0,Apply for a Certificate Reissue or reissue an additional page of the Certificate due to loss,Procedures for reissuing the Certificate or reissuing an additional page of the Certificate due to loss |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19452
112,19452.0,Conditions for reissuing the Certificate or reissuing an additional page of the Certificate due to loss,Procedures for reissuing the Certificate or reissuing an additional page of the Certificate due to loss |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19452
113,19452.0,"I want to have my Certificate re-issued or the additional page of my Certificate re-issued due to loss, what should I do?",Procedures for reissuing the Certificate or reissuing an additional page of the Certificate due to loss |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19452
114,19452.0,Steps to carry out procedures for reissuing the Certificate or reissuing an additional page of the Certificate due to loss,Procedures for reissuing the Certificate or reissuing an additional page of the Certificate due to loss |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19452
115,19408.0,"Procedures for renewing Certificates of land use rights, ownership of houses and other assets attached to land","Procedures for renewing Certificates of land use rights, ownership of houses and other assets attached to land |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19408"
